         241          21
     -29.1606860682728701      -28.4166926386523748      -44.9819495711852184
     -29.1570402987311752      -28.4276023996713292      -44.9745138002435922
     -29.1533912620747344      -28.4413265654670440      -44.9652936467033442
     -29.1502426919500799      -28.4583488616177682      -44.9540541081610172
     -29.1484035278089557      -28.4783054707399366      -44.9411407673862371
     -29.1486504856890321      -28.5009033271473591      -44.9268497297985476
     -29.1517526831461389      -28.5258480732366806      -44.9114771214184714
     -29.1584862073833833      -28.5527996789995591      -44.8953497538213426
     -29.1696449214902209      -28.5813385225746437      -44.8788487744512281
     -29.1860512810475292      -28.6109316348406821      -44.8624333923634424
     -29.2085701650450176      -28.6408909201573181      -44.8466703385045165
     -29.2381296423723569      -28.6703126702564113      -44.8322764629005945
     -29.2757557759092322      -28.6979790168906241      -44.8201878874392321
     -29.3226370767501834      -28.7221787565321982      -44.8116852173162599
     -29.3785409074341608      -28.7450150621714613      -44.8053937336020311
     -29.4423085630099095      -28.7710485456264955      -44.7982164126743498
     -29.5143643939506077      -28.8004632385045625      -44.7900943550015214
     -29.5951150632840445      -28.8334239107833312      -44.7809775341237923
     -29.6849448603061568      -28.8700857495147396      -44.7708178388134783
     -29.7842148327839702      -28.9105938509433571      -44.7595692246188150
     -29.8932620026535751      -28.9550826992616663      -44.7471878985196128
     -30.0123986679963650      -29.0036756252538908      -44.7336325436854807
     -30.1419117938434553      -29.0564842393671690      -44.7188645905645004
     -30.2820624941841672      -29.1136078355133172      -44.7028485394613924
     -30.4330856072093923      -29.1751327638414750      -44.6855523385371853
     -30.5951893651812661      -29.2411317726483233      -44.6669478198674312
     -30.7685551593893898      -29.3116633214540343      -44.6470111948567450
     -30.9533373995057879      -29.3867708690793528      -44.6257236089158553
     -31.1496634653408044      -29.4664821423305447      -44.6030717538457111
     -31.3576337303719690      -29.5508083889553816      -44.5790485346409611
     -31.5773215854048281      -29.6397436252637370      -44.5536537748654098
     -31.8087735507390761      -29.7332639404568262      -44.5268949342384701
     -32.0520094877441579      -29.8313268567020735      -44.4987878410849831
     -32.3070228618013786      -29.9338707402468174      -44.4693574352592975
     -32.5737810455617520      -30.0408142789100658      -44.4386385087320832
     -32.8522256555444798      -30.1520560253138754      -44.4066764043042710
     -33.1422731034759508      -30.2674730174131348      -44.3735261841151143
     -33.4438151303325952      -30.3869196277277247      -44.3392519565477841
     -33.7567189464954254      -30.5102285804054603      -44.3039291344062889
     -34.0808275612713913      -30.6372110628602599      -44.2676450431643218
     -34.4159601102047858      -30.7676568828671257      -44.2304992571534541
     -34.7619121477297668      -30.9013348042828291      -44.1926038227810309
     -35.1184558970620770      -31.0379930731185318      -44.1540833510873512
     -35.4853404508892467      -31.1773601435452434      -44.1150749624559850
     -35.8622919184087863      -31.3191456110074427      -44.0757280672014531
     -36.2490135175386570      -31.4630413572610692      -44.0362039670719980
     -36.6451857463000508      -31.6087229341591502      -43.9966752684341174
     -37.0504669560548692      -31.7558511546903617      -43.9573251708393755
     -37.4644937825044124      -31.9040736575536066      -43.9183467010105062
     -37.8868814233241622      -32.0530265335781408      -43.8799418202012461
     -38.3172239139578039      -32.2023360728570651      -43.8423203793427589
     -38.7550944111536495      -32.3516206242846422      -43.8056989218828861
     -39.2000454916501226      -32.5004925570744092      -43.7702993366298472
     -39.6516094746054506      -32.6485603130283550      -43.7363473651817358
     -40.1092987774843976      -32.7954305376150614      -43.7040709709395330
     -40.5726063161338217      -32.9407102772786686      -43.6736985792369055
     -41.0410059606657640      -33.0840092298276645      -43.6454572007418875
     -41.5139530594856367      -33.2249420342193318      -43.6195704529558057
     -41.9908850443190786      -33.3631305855429119      -43.5962564973093265
     -42.4712221293627579      -33.4982063604907196      -43.5757259119840867
     -42.9543681176761893      -33.6298127380711875      -43.5581795231157187
     -43.4397110220412941      -33.7576072482518370      -43.5438062060409763
     -43.9266206087556554      -33.8812635801002813      -43.5327803505483431
     -44.4144440280840556      -34.0004762108941989      -43.5252602538383755
     -44.9025052014347708      -34.1149654866542491      -43.5213853057497033
     -45.3901081179564088      -34.2244795663722172      -43.5212693338944305
     -45.8765384258258706      -34.3287981254979115      -43.5249966987748849
     -46.3610651735322179      -34.4277360072766783      -43.5326189516552091
     -46.8429428942107364      -34.5211465513306592      -43.5441518620491408
     -47.3214139773346645      -34.6089245425782792      -43.5595728774880158
     -47.7957112350701010      -34.6910087340815920      -43.5788190601694154
     -48.2650605204871610      -34.7673839134208791      -43.6017855188550882
     -48.7286831812691048      -34.8380825057744730      -43.6283243166643544
     -49.1858015135106612      -34.9031444113370526      -43.6582774495518109
     -49.6356561133791416      -34.9623619565863777      -43.6916842528645617
     -50.0774771076236433      -35.0154810273801758      -43.7286161137591236
     -50.5104853453564502      -35.0623517798845015      -43.7690557759611707
     -50.9339273131810799      -35.1029299670972463      -43.8129021656395778
     -51.3470982740589150      -35.1372699292430610      -43.8599801430386762
     -51.7493621163882480      -35.1655139337216838      -43.9100529144367613
     -52.1401692318484251      -35.1878787742449930      -43.9628365418014866
     -52.5190690297750038      -35.2046402498869071      -44.0180153490017929
     -52.8857133845542151      -35.2161167372380532      -44.0752564835687863
     -53.2398490075811637      -35.2226536083785504      -44.1342217767371920
     -53.5813003714823779      -35.2246103378257445      -44.1945756578489082
     -53.9099482689320553      -35.2223515232805227      -44.2559890369951958
     -54.2257083498030141      -35.2162418739757044      -44.3181399042028659
     -54.5285085786145842      -35.2066447799926081      -44.3807107844774649
     -54.8182843241423541      -35.1939244766154786      -44.4433864680442881
     -55.0949852996939029      -35.1784477442676220      -44.5058541954662772
     -55.3585813642344888      -35.1605836370605118      -44.5678051535534934
     -55.6090650432271048      -35.1407016612108549      -44.6289366172468505
     -55.8464545147158802      -35.1191691105258741      -44.6889547160378413
     -56.0707961218272715      -35.0963478312833175      -44.7475774743079668
     -56.2821663008892941      -35.0725906741336289      -44.8045379089096372
     -56.4806730124102145      -35.0482378509879808      -44.8595870310000109
     -56.6664567414002960      -35.0236133716290610      -44.9124966340944738
     -56.8396911214418665      -34.9990216995667680      -44.9630617796396876
     -57.0005832293135626      -34.9747447366236486      -45.0111029164522094
     -57.1493735915304200      -34.9510392192657662      -45.0564675919101347
     -57.2863359396460865      -34.9281345859116570      -45.0990317312986875
     -57.4117767470035503      -34.9062313529112060      -45.1387004775179008
     -57.5260345756138065      -34.8855000174046879      -45.1754085966937993
     -57.6294792579846700      -34.8660804878059452      -45.2091204663019326
     -57.7225109351010914      -34.8480820272335947      -45.2398296713982688
     -57.8055589684753812      -34.8315836818869613      -45.2675582416466611
     -57.8790807413293322      -34.8166351551719302      -45.2923555672136331
     -57.9435603616865578      -34.8018484660307195      -45.3153796420547010
     -57.9995072775895011      -34.7856665434952887      -45.3379185755977048
     -58.0474548148610694      -34.7684642348307378      -45.3597793962167302
     -58.0879586447129626      -34.7505911627720536      -45.3807935864008911
     -58.1215951887292661      -34.7323703491590763      -45.4008177450531178
     -58.1489599685740615      -34.7141034111874802      -45.4197291825588465
     -58.1706659069334506      -34.6960755674855221      -45.4374216560426376
     -58.1873415860814163      -34.6785610778708033      -45.4538007742242058
     -58.1996294703401489      -34.6618299573406645      -45.4687784363890799
     -58.2081840985947210      -34.6461573568715480      -45.4822652501818538
     -58.2136702529107524      -34.6318383227284770      -45.4941588700014634
     -58.2167611091885817      -34.6192138975856594      -45.5043237259093303
     -58.2181363756620485      -34.6087207863346862      -45.5125528546383080
     -58.2184804249117889      -34.6001540686681395      -45.5191279285209447
     -58.2181363756620485      -34.5915263485577569      -45.5256227490602754
     -58.2167611091885817      -34.5807893971877718      -45.5335310876115571
     -58.2136702529107524      -34.5676169783986964      -45.5429750162992804
     -58.2081840985947210      -34.5523253689067289      -45.5535891394543029
     -58.1996294703403549      -34.5351364567680363      -45.5650811301972070
     -58.1873415860833632      -34.5162278088329799      -45.5771940898434238
     -58.1706659069468088      -34.4957591871672236      -45.5896868231715899
     -58.1489599686456273      -34.4738877349240767      -45.6023227379991170
     -58.1215951890457987      -34.4507777923122944      -45.6148628354902499
     -58.0879586459127708      -34.4266080514550481      -45.6270607291859989
     -58.0474548188674788      -34.4015774395736571      -45.6386586334093920
     -57.9995072896181156      -34.3759105676715464      -45.6493836813098994
     -57.9435603946674433      -34.3498633649389191      -45.6589440975887655
     -57.8790808249204005      -34.3237220713453297      -45.6670303489730358
     -57.8055591676648106      -34.2958288792215100      -45.6747980367624464
     -57.7225113869143058      -34.2646965915633572      -45.6832746698356260
     -57.6294802383638327      -34.2302908904976491      -45.6923991875574913
     -57.5260366189957821      -34.1926116421669448      -45.7020896224037756
     -57.4117808520529636      -34.1516941487734584      -45.7122425826897469
     -57.2863439118016800      -34.1076099532955581      -45.7227331014909666
     -57.1493885962321428      -34.0604671391184937      -45.7334148910957197
     -57.0006106604981611      -34.0104100702718100      -45.7441210376659910
     -56.8397399293847556      -33.9576185220544460      -45.7546651658409473
     -56.6665414133950094      -33.9023061563466825      -45.7648430981132961
     -56.4808164601345197      -33.8447183005995171      -45.7744350293152067
     -56.2824039805517415      -33.7851289940206598      -45.7832082328860821
     -56.0711817983841954      -33.7238372684314101      -45.7909203132477955
     -55.8470681812310588      -33.6611626341287291      -45.7973230181545077
     -55.6100236238289583      -33.5974397421882642      -45.8021666270345378
     -55.3600529699317079      -33.5330121931215217      -45.8052049370403864
     -55.0972079815669957      -33.4682254564752526      -45.8062008791002597
     -54.8215904984552367      -33.4034188551741238      -45.8049328137097191
     -54.5333566058324166      -33.3389165643773708      -45.8012016038162670
     -54.2327232208566272      -33.2750176038562486      -45.7948386872137121
     -53.9199741766867930      -33.2119844564657356      -45.7857150280976555
     -53.5954677504089005      -33.1500301838903084      -45.7737513224352099
     -53.2596338531177196      -33.0893037040154780      -45.7589276256536834
     -52.9129524077757409      -33.0298762959703112      -45.7412887656524276
     -52.5559309296620540      -32.9717326509650945      -45.7209463603879485
     -52.1890801657641603      -32.9147665215327265      -45.6980772540726718
     -51.8128920500426773      -32.8587814368912916      -45.6729188112528490
     -51.4278253960139295      -32.8034960590953091      -45.6457623286326566
     -51.0343016194185850      -32.7485528330347790      -45.6169459146377392
     -50.6327091958155506      -32.6935283086932529      -45.5868477398290608
     -50.2234136858440152      -32.6379438657041305      -45.5558799753465280
     -49.8067702286996123      -32.5812761657487044      -45.5244833228481482
     -49.3831400144742716      -32.5229674176486583      -45.4931222984729828
     -48.9529202066690132      -32.4624354780475102      -45.4622828512078812
     -48.5165420029889205      -32.3992302065585349      -45.4323600716294607
     -48.0744388850643887      -32.3332412888657643      -45.4035049348250439
     -47.6270608615186219      -32.2644304838895692      -45.3758185675718337
     -47.1748767761996675      -32.1927877437594248      -45.3493840541804332
     -46.7183736550571638      -32.1183304536364602      -45.3242669338530035
     -46.2580563023593996      -32.0411025580353197      -45.3005158495061693
     -45.7944469561589642      -31.9611734892849029      -45.2781633732664019
     -45.3280848741209894      -31.8786368451471773      -45.2572270205117775
     -44.8595257620643935      -31.7936087854822489      -45.2377104537770549
     -44.3893409879407272      -31.7062261361959479      -45.2196048688580134
     -43.9181165477996700      -31.6166442044400711      -45.2028905475067191
     -43.4464515630971562      -31.5250345048841005      -45.1875388148039718
